Order_ID,Expected_Delivery_Date,Actual_Delivery_Date,Delay_Days,Delivery_Status
ORD00179,2024-05-03,2024-04-29,-4.0,On-Time
ORD00180,2024-05-20,2024-05-15,-5.0,On-Time
ORD00181,2024-05-23,2024-05-21,,On-Time
ORD00182,2024-02-18,2024-02-19,1.0,Late
ORD00183,2024-02-20,2024-02-20,0.0,On-Time
ORD00184,2024-04-29,2024-04-26,-3.0,On-Time
ORD00185,2024-02-17,2024-02-16,-1.0,On-Time
ORD00186,2024-06-01,2024-06-04,3.0,Late
ORD00187,2024-05-25,2024-05-24,-1.0,On-Time
ORD00188,2024-02-14,2024-02-16,2.0,Late
ORD00189,2024-06-01,2024-05-30,-2.0,On-Time
ORD00190,2024-03-22,2024-03-24,2.0,Late
ORD00191,2024-03-06,2024-03-07,1.0,Late
ORD00192,2024-02-14,2024-02-11,-3.0,On-Time
ORD00193,2024-02-25,2024-02-25,0.0,On-Time
ORD00194,2024-05-13,2024-05-14,1.0,Late
ORD00195,2024-05-26,2024-05-22,-4.0,On-Time
ORD00196,2024-04-21,2024-04-24,3.0,Late
ORD00197,2024-03-25,2024-03-22,-3.0,On-Time
ORD00198,2024-01-30,2024-01-27,-3.0,On-Time
ORD00199,2024-03-10,2024-03-06,-4.0,On-Time
ORD00200,2024-03-04,2024-03-06,2.0,Late
ORD00201,2024-05-29,2024-05-26,-3.0,On-Time
ORD00202,2024-04-19,2024-04-17,-2.0,On-Time
ORD00203,2024-01-10,2024-01-12,2.0,Late
ORD00204,2024-05-30,2024-05-30,0.0,On-Time
ORD00205,2024-03-01,2024-02-29,-1.0,On-Time
ORD00206,2024-06-03,2024-05-30,-4.0,On-Time
ORD00207,2024-01-15,2024-01-11,-4.0,On-Time
ORD00208,2024-04-23,2024-04-24,1.0,Late
ORD00209,2024-05-30,2024-05-27,-3.0,On-Time
ORD00210,2024-05-21,2024-05-14,-7.0,On-Time
ORD00211,2024-01-25,2024-01-24,-1.0,On-Time
ORD00212,2024-03-30,2024-04-03,4.0,Late
ORD00213,2024-02-14,2024-02-10,-4.0,On-Time
ORD00214,2024-05-07,2024-05-08,1.0,Late
ORD00215,2024-02-11,2024-02-12,1.0,Late
ORD00216,2024-04-28,2024-04-26,-2.0,On-Time
ORD00217,2024-01-21,2024-01-14,-7.0,On-Time
ORD00218,2024-02-17,2024-02-16,-1.0,On-Time
ORD00219,2024-03-02,2024-03-03,1.0,Late
ORD00220,2024-01-29,2024-01-24,-5.0,On-Time
ORD00221,2024-02-18,2024-02-13,-5.0,On-Time
ORD00222,2024-05-23,2024-05-23,0.0,On-Time
ORD00223,2024-02-12,2024-02-09,-3.0,On-Time
ORD00224,2024-01-05,2024-01-07,2.0,Late
ORD00225,2024-03-12,2024-03-05,-7.0,On-Time
ORD00226,2024-04-01,2024-03-29,-3.0,On-Time
ORD00227,2024-02-06,2024-02-08,2.0,Late
ORD00228,2024-04-21,2024-04-19,-2.0,On-Time
ORD00229,2024-01-18,2024-01-19,1.0,Late
ORD00230,2024-05-10,2024-05-08,-2.0,On-Time
ORD00231,2024-02-08,2024-02-09,1.0,Late
ORD00232,2024-04-18,2024-04-21,3.0,Late
ORD00233,2024-01-26,2024-01-26,0.0,On-Time
ORD00234,2024-04-08,2024-04-02,-6.0,On-Time
ORD00235,2024-05-10,2024-05-09,-1.0,On-Time
ORD00236,2024-01-06,2024-01-05,,On-Time
ORD00237,2024-04-13,2024-04-08,-5.0,On-Time
ORD00238,2024-01-31,2024-01-27,-4.0,On-Time
ORD00239,2024-03-10,2024-03-11,1.0,Late
ORD00240,2024-03-07,2024-03-02,-5.0,On-Time
ORD00241,2024-01-10,2024-01-10,0.0,On-Time
ORD00242,2024-02-05,2024-02-08,3.0,Late
ORD00243,2024-01-22,2024-01-23,1.0,Late
ORD00244,2024-03-05,2024-03-08,3.0,Late
ORD00245,2024-04-04,2024-04-01,-3.0,On-Time
ORD00246,2024-02-06,2024-02-05,-1.0,On-Time
ORD00247,2024-04-24,2024-04-21,-3.0,On-Time
ORD00248,2024-04-06,2024-04-10,4.0,Late
ORD00249,2024-01-28,2024-01-27,-1.0,On-Time
ORD00250,2024-05-14,2024-05-16,2.0,Late
ORD00251,2024-05-22,2024-05-20,-2.0,On-Time
ORD00252,2024-04-04,2024-03-30,-5.0,On-Time
ORD00253,2024-03-05,2024-02-29,-5.0,On-Time
ORD00254,2024-01-11,2024-01-09,-2.0,On-Time
ORD00255,2024-03-04,2024-03-06,2.0,Late
ORD00256,2024-05-25,2024-05-20,-5.0,On-Time
ORD00257,2024-03-26,2024-03-25,-1.0,On-Time
ORD00258,2024-03-14,2024-03-16,2.0,Late
ORD00259,2024-06-01,2024-05-27,-5.0,On-Time
ORD00260,2024-01-11,2024-01-14,3.0,Late
ORD00261,2024-05-06,2024-05-05,-1.0,On-Time
ORD00262,2024-03-08,2024-03-07,-1.0,On-Time
ORD00263,2024-03-30,2024-03-30,0.0,On-Time
ORD00264,2024-03-23,2024-03-21,-2.0,On-Time
ORD00265,2024-05-05,2024-05-05,,On-Time
ORD00266,2024-05-20,2024-05-20,0.0,On-Time
ORD00267,2024-04-22,2024-04-17,-5.0,On-Time
ORD00268,2024-02-13,2024-02-14,1.0,Late
ORD00269,2024-04-27,2024-04-26,-1.0,On-Time
ORD00270,2024-02-24,2024-02-21,-3.0,On-Time
ORD00271,2024-04-25,2024-04-26,1.0,Late
ORD00272,2024-03-13,2024-03-12,-1.0,On-Time
ORD00273,2024-01-17,2024-01-14,-3.0,On-Time
ORD00274,2024-02-02,2024-02-04,2.0,Late
ORD00275,2024-02-28,2024-02-24,-4.0,On-Time
ORD00276,2024-04-07,2024-04-04,-3.0,On-Time
ORD00277,2024-03-03,2024-03-05,2.0,Late
ORD00278,2024-05-01,2024-04-30,-1.0,On-Time
ORD00279,2024-04-22,2024-04-16,-6.0,On-Time
ORD00280,2024-01-30,2024-01-31,1.0,Late
ORD00281,2024-05-31,2024-05-30,,On-Time
ORD00282,2024-02-26,2024-02-25,-1.0,On-Time
ORD00283,2024-03-22,2024-03-22,0.0,On-Time
ORD00284,2024-03-24,2024-03-19,-5.0,On-Time
ORD00285,2024-04-11,2024-04-06,-5.0,On-Time
ORD00286,2024-02-08,2024-02-07,-1.0,On-Time
ORD00287,2024-02-06,2024-02-09,3.0,Late
ORD00288,2024-04-17,2024-04-16,-1.0,On-Time
ORD00289,2024-06-03,2024-06-02,-1.0,On-Time
ORD00290,2024-02-20,2024-02-23,3.0,Late
ORD00291,2024-04-01,2024-04-02,1.0,Late
ORD00292,2024-06-03,2024-06-05,2.0,Late
ORD00293,2024-02-10,2024-02-11,1.0,Late
ORD00294,2024-05-15,2024-05-18,3.0,Late
ORD00295,2024-04-13,2024-04-11,-2.0,On-Time
ORD00296,2024-01-20,2024-01-16,-4.0,On-Time
ORD00297,2024-03-29,2024-03-31,2.0,Late
ORD00298,2024-03-15,2024-03-14,-1.0,On-Time
ORD00299,2024-02-14,2024-02-15,1.0,Late
ORD00300,2024-03-03,2024-03-04,1.0,Late
ORD00301,2024-04-04,2024-04-02,-2.0,On-Time
ORD00302,2024-05-15,2024-05-12,-3.0,On-Time
ORD00303,2024-03-02,2024-02-28,-3.0,On-Time
ORD00304,2024-04-12,2024-04-12,0.0,On-Time
ORD00305,2024-03-21,2024-03-21,0.0,On-Time
ORD00306,2024-01-24,2024-01-22,-2.0,On-Time
ORD00307,2024-03-27,2024-03-27,0.0,On-Time
ORD00308,2024-02-13,2024-02-10,-3.0,On-Time
ORD00309,2024-05-06,2024-05-04,-2.0,On-Time
ORD00310,2024-02-25,2024-02-27,2.0,Late
ORD00311,2024-05-17,2024-05-18,1.0,Late
ORD00312,2024-03-20,2024-03-16,-4.0,On-Time
ORD00313,2024-05-21,2024-05-20,-1.0,On-Time
ORD00314,2024-02-06,2024-02-01,-5.0,On-Time
ORD00315,2024-01-27,2024-01-20,-7.0,On-Time
ORD00316,2024-02-01,2024-01-28,-4.0,On-Time
ORD00317,2024-01-22,2024-01-19,,On-Time
ORD00318,2024-04-18,2024-04-11,-7.0,On-Time
ORD00319,2024-03-28,2024-03-30,2.0,Late
ORD00320,2024-02-16,2024-02-17,1.0,Late
ORD00321,2024-04-07,2024-04-03,-4.0,On-Time
ORD00322,2024-02-02,2024-01-29,-4.0,On-Time
ORD00323,2024-01-14,2024-01-13,-1.0,On-Time
ORD00324,2024-03-18,2024-03-20,2.0,Late
ORD00325,2024-04-04,2024-04-04,0.0,On-Time
ORD00326,2024-01-21,2024-01-22,1.0,Late
ORD00327,2024-02-09,2024-02-07,-2.0,On-Time
ORD00328,2024-04-27,2024-04-27,0.0,On-Time
ORD00329,2024-04-27,2024-04-23,-4.0,On-Time
ORD00330,2024-03-10,2024-03-09,-1.0,On-Time
ORD00331,2024-03-14,2024-03-14,0.0,On-Time
ORD00332,2024-01-21,2024-01-20,-1.0,On-Time
ORD00333,2024-03-07,2024-03-03,-4.0,On-Time
ORD00334,2024-04-23,2024-04-26,3.0,Late
ORD00335,2024-02-11,2024-02-06,-5.0,On-Time
ORD00336,2024-02-28,2024-02-24,-4.0,On-Time
ORD00337,2024-01-21,2024-01-22,1.0,Late
ORD00338,2024-05-06,2024-05-08,2.0,Late
ORD00339,2024-03-29,2024-03-25,-4.0,On-Time
ORD00340,2024-01-17,2024-01-15,-2.0,On-Time
ORD00341,2024-03-06,2024-03-08,2.0,Late
ORD00342,2024-01-31,2024-01-31,0.0,On-Time
ORD00343,2024-05-18,2024-05-11,-7.0,On-Time
ORD00344,2024-02-07,2024-02-05,-2.0,On-Time
ORD00345,2024-03-08,2024-03-07,-1.0,On-Time
ORD00346,2024-01-18,2024-01-18,0.0,On-Time
ORD00347,2024-01-21,2024-01-14,-7.0,On-Time
ORD00348,2024-05-16,2024-05-12,-4.0,On-Time
ORD00349,2024-05-08,2024-05-01,-7.0,On-Time
ORD00350,2024-05-27,2024-05-22,-5.0,On-Time
ORD00351,2024-02-24,2024-02-23,-1.0,On-Time
ORD00352,2024-03-20,2024-03-19,-1.0,On-Time
ORD00353,2024-05-18,2024-05-17,-1.0,On-Time
ORD00354,2024-03-10,2024-03-10,0.0,On-Time
ORD00355,2024-03-05,2024-03-07,2.0,Late
ORD00356,2024-01-10,2024-01-11,1.0,Late
ORD00357,2024-02-27,2024-02-26,-1.0,On-Time
ORD00358,2024-03-07,2024-03-05,-2.0,On-Time
ORD00359,2024-06-02,2024-05-31,-2.0,On-Time
ORD00360,2024-05-29,2024-05-31,2.0,Late
ORD00361,2024-04-17,2024-04-18,1.0,Late
ORD00362,2024-06-01,2024-05-29,-3.0,On-Time
ORD00363,2024-03-09,2024-03-05,-4.0,On-Time
ORD00364,2024-05-10,2024-05-06,-4.0,On-Time
ORD00365,2024-06-07,2024-05-31,-7.0,On-Time
ORD00366,2024-05-10,2024-05-10,0.0,On-Time
ORD00367,2024-03-31,2024-03-27,-4.0,On-Time
ORD00368,2024-03-19,2024-03-20,1.0,Late
ORD00369,2024-06-02,2024-05-30,-3.0,On-Time
ORD00370,2024-04-15,2024-04-15,0.0,On-Time
ORD00371,2024-04-07,2024-04-05,-2.0,On-Time
ORD00372,2024-05-29,2024-05-28,-1.0,On-Time
ORD00373,2024-03-27,2024-03-25,,On-Time
ORD00374,2024-06-02,2024-06-04,2.0,Late
ORD00375,2024-04-29,2024-05-01,2.0,Late
ORD00376,2024-04-15,2024-04-12,-3.0,On-Time
ORD00377,2024-02-25,2024-02-27,2.0,Late
ORD00378,2024-05-21,2024-05-22,1.0,Late
ORD00379,2024-05-05,2024-05-02,-3.0,On-Time
ORD00380,2024-04-05,2024-04-03,-2.0,On-Time
ORD00381,2024-03-28,2024-03-28,0.0,On-Time
ORD00382,2024-05-06,2024-05-01,-5.0,On-Time
ORD00383,2024-04-10,2024-04-12,2.0,Late
ORD00384,2024-05-15,2024-05-17,2.0,Late
ORD00385,2024-04-09,2024-04-03,-6.0,On-Time
ORD00386,2024-05-17,2024-05-12,-5.0,On-Time
ORD00387,2024-03-06,2024-03-07,1.0,Late
ORD00388,2024-05-28,2024-05-26,-2.0,On-Time
ORD00389,2024-03-25,2024-03-21,-4.0,On-Time
ORD00390,2024-02-02,2024-01-28,-5.0,On-Time
ORD00391,2024-05-19,2024-05-20,1.0,Late
ORD00392,2024-04-19,2024-04-18,-1.0,On-Time
ORD00393,2024-04-28,2024-04-24,-4.0,On-Time
ORD00394,2024-03-27,2024-03-26,-1.0,On-Time
ORD00395,2024-03-18,2024-03-16,-2.0,On-Time
ORD00396,2024-05-09,2024-05-04,-5.0,On-Time
ORD00397,2024-04-23,2024-04-22,-1.0,On-Time
ORD00398,2024-01-11,2024-01-06,-5.0,On-Time
ORD00399,2024-03-19,2024-03-23,4.0,Late
ORD00400,2024-03-05,2024-03-04,-1.0,On-Time
ORD00401,2024-03-05,2024-03-07,2.0,Late
ORD00402,2024-05-29,2024-05-28,-1.0,On-Time
ORD00403,2024-05-12,2024-05-13,1.0,Late
ORD00404,2024-02-15,2024-02-18,3.0,Late
ORD00405,2024-04-09,2024-04-10,1.0,Late
ORD00406,2024-01-11,2024-01-08,-3.0,On-Time
ORD00407,2024-03-06,2024-02-29,-6.0,On-Time
ORD00408,2024-05-12,2024-05-10,-2.0,On-Time
ORD00409,2024-05-02,2024-05-04,2.0,Late
ORD00410,2024-04-24,2024-04-27,3.0,Late
ORD00411,2024-02-02,2024-02-03,1.0,Late
ORD00412,2024-03-30,2024-03-28,-2.0,On-Time
ORD00413,2024-05-21,2024-05-19,-2.0,On-Time
ORD00414,2024-01-08,2024-01-04,-4.0,On-Time
ORD00415,2024-05-27,2024-05-23,-4.0,On-Time
ORD00416,2024-04-05,2024-03-30,-6.0,On-Time
ORD00417,2024-05-02,2024-04-30,-2.0,On-Time
ORD00418,2024-01-05,2024-01-03,-2.0,On-Time
ORD00419,2024-01-09,2024-01-03,-6.0,On-Time
ORD00420,2024-03-06,2024-03-04,-2.0,On-Time
ORD00421,2024-02-05,2024-02-01,-4.0,On-Time
ORD00422,2024-01-26,2024-01-23,-3.0,On-Time
ORD00423,2024-05-17,2024-05-17,0.0,On-Time
ORD00424,2024-02-05,2024-02-02,-3.0,On-Time
ORD00425,2024-01-09,2024-01-08,-1.0,On-Time
ORD00426,2024-03-09,2024-03-03,-6.0,On-Time
ORD00427,2024-05-20,2024-05-20,0.0,On-Time
ORD00428,2024-03-30,2024-03-28,-2.0,On-Time
ORD00429,2024-04-02,2024-04-04,2.0,Late
ORD00430,2024-04-09,2024-04-09,0.0,On-Time
ORD00431,2024-05-01,2024-04-30,-1.0,On-Time
ORD00432,2024-01-11,2024-01-11,0.0,On-Time
ORD00433,2024-04-15,2024-04-15,0.0,On-Time
ORD00434,2024-05-20,2024-05-18,-2.0,On-Time
ORD00435,2024-04-14,2024-04-11,-3.0,On-Time
ORD00436,2024-04-06,2024-04-08,2.0,Late
ORD00437,2024-03-04,2024-02-29,-4.0,On-Time
ORD00438,2024-05-24,2024-05-24,0.0,On-Time
ORD00439,2024-03-18,2024-03-16,,On-Time
ORD00440,2024-01-17,2024-01-16,-1.0,On-Time
ORD00441,2024-04-24,2024-04-18,-6.0,On-Time
ORD00442,2024-04-02,2024-03-29,-4.0,On-Time
ORD00443,2024-05-18,2024-05-18,0.0,On-Time
ORD00444,2024-05-19,2024-05-23,4.0,Late
ORD00445,2024-03-20,2024-03-21,1.0,Late
ORD00446,2024-02-24,2024-02-20,-4.0,On-Time
ORD00447,2024-04-05,2024-04-03,-2.0,On-Time
ORD00448,2024-05-07,2024-05-09,,Late
ORD00449,2024-01-27,2024-01-26,-1.0,On-Time
ORD00450,2024-04-27,2024-04-23,-4.0,On-Time
ORD00451,2024-06-02,2024-05-29,-4.0,On-Time
ORD00452,2024-01-26,2024-01-22,-4.0,On-Time
ORD00453,2024-03-06,2024-03-04,-2.0,On-Time
ORD00454,2024-02-21,2024-02-19,-2.0,On-Time
ORD00455,2024-02-09,2024-02-12,3.0,Late
ORD00456,2024-04-14,2024-04-11,-3.0,On-Time
ORD00457,2024-01-22,2024-01-24,2.0,Late
ORD00458,2024-04-13,2024-04-11,-2.0,On-Time
ORD00459,2024-04-11,2024-04-12,1.0,Late
ORD00460,2024-04-26,2024-04-25,-1.0,On-Time
ORD00461,2024-06-03,2024-06-02,-1.0,On-Time
ORD00462,2024-05-12,2024-05-09,-3.0,On-Time
ORD00463,2024-03-16,2024-03-17,1.0,Late
ORD00464,2024-05-18,2024-05-13,-5.0,On-Time
ORD00465,2024-01-21,2024-01-22,1.0,Late
ORD00466,2024-04-14,2024-04-12,-2.0,On-Time
ORD00467,2024-04-23,2024-04-20,-3.0,On-Time
ORD00468,2024-02-28,2024-02-24,-4.0,On-Time
ORD00469,2024-03-16,2024-03-11,-5.0,On-Time
ORD00470,2024-02-05,2024-02-06,1.0,Late
ORD00471,2024-03-31,2024-03-26,-5.0,On-Time
ORD00472,2024-03-03,2024-02-28,,On-Time
ORD00473,2024-05-22,2024-05-17,-5.0,On-Time
ORD00474,2024-01-23,2024-01-19,-4.0,On-Time
ORD00475,2024-05-14,2024-05-10,-4.0,On-Time
ORD00476,2024-01-26,2024-01-24,-2.0,On-Time
ORD00477,2024-01-11,2024-01-10,-1.0,On-Time
ORD00478,2024-03-26,2024-03-21,-5.0,On-Time
ORD00479,2024-03-11,2024-03-10,-1.0,On-Time
