Shipment_ID,Order_ID,Ship_Date,Delivery_Date,Shipping_Mode,Carrier,Warehouse_ID
SHP00024,ORD00024,2024-03-20,2024-03-20,Road,IndiaPost,WH00001
SHP00025,ORD00025,2024-01-16,2024-01-15,Standard,EcomExpress,WH00009
SHP00026,ORD00026,2024-05-07,2024-05-12,Road,BlueDart,WH00010
SHP00027,ORD00027,2024-05-24,2024-05-28,Express,Delhivery,WH00001
SHP00028,ORD00028,2024-04-04,2024-04-07,Standard,Delhivery,WH00006
SHP00029,ORD00029,2024-03-30,2024-04-03,Air,BlueDart,WH00004
SHP00030,ORD00030,2024-02-02,2024-02-06,Road,EcomExpress,WH00002
SHP00031,ORD00031,2024-03-31,2024-04-01,Road,Delhivery,WH00001
SHP00032,ORD00032,2024-05-21,2024-05-28,Express,EcomExpress,WH00004
SHP00033,ORD00033,2024-03-09,2024-03-10,Air,IndiaPost,WH00003
SHP00034,ORD00034,2024-02-02,2024-02-06,Road,Delhivery,WH00007
SHP00035,ORD00035,2024-03-01,2024-03-04,Standard,IndiaPost,WH00006
SHP00036,ORD00036,2024-02-09,2024-02-14,Express,BlueDart,WH00008
SHP00037,ORD00037,2024-01-30,2024-02-02,Express,EcomExpress,WH00006
SHP00038,ORD00038,2024-01-20,2024-01-21,Standard,IndiaPost,WH00011
SHP00039,ORD00039,2024-04-04,2024-04-05,Air,EcomExpress,WH00003
SHP00040,ORD00040,2024-03-20,2024-03-21,Express,EcomExpress,WH00003
SHP00041,ORD00041,2024-04-07,2024-04-10,Road,Delhivery,WH00006
SHP00042,ORD00042,2024-05-20,2024-05-27,Air,Delhivery,WH00004
SHP00043,ORD00043,2024-03-17,2024-03-17,Express,Delhivery,WH00002
SHP00044,ORD00044,2024-05-18,2024-05-19,Road,IndiaPost,WH00005
SHP00045,ORD00045,2024-01-18,2024-01-24,Air,BlueDart,WH00007
SHP00046,ORD00046,2024-01-21,2024-01-25,Express,IndiaPost,WH00010
SHP00047,ORD00047,2024-04-30,2024-05-05,Standard,IndiaPost,WH00007
SHP00048,ORD00048,2024-03-13,2024-03-19,Standard,EcomExpress,WH00008
SHP00049,ORD00049,2024-03-30,2024-04-06,Air,IndiaPost,WH00005
SHP00050,ORD00050,2024-05-21,2024-05-26,Express,IndiaPost,WH00011
SHP00051,ORD00051,2024-05-27,2024-05-28,Road,Delhivery,WH00004
SHP00052,ORD00052,2024-05-18,2024-05-17,Road,IndiaPost,WH00007
SHP00053,ORD00053,2024-02-01,2024-02-02,Express,IndiaPost,WH00009
SHP00054,ORD00054,2024-02-06,2024-02-10,Express,IndiaPost,WH00004
SHP00055,ORD00055,2024-04-09,2024-04-11,Standard,BlueDart,WH00003
SHP00056,ORD00056,2024-02-16,2024-02-20,Road,Delhivery,WH00002
SHP00057,ORD00057,2024-05-16,2024-05-20,Express,EcomExpress,WH00012
SHP00058,ORD00058,2024-01-06,2024-01-10,Road,Delhivery,WH00010
SHP00059,ORD00059,2024-03-15,2024-03-15,Standard,BlueDart,WH00003
SHP00060,ORD00060,2024-03-30,2024-04-05,Express,Delhivery,WH00006
SHP00061,ORD00061,2024-04-01,2024-03-31,Standard,IndiaPost,WH00007
SHP00062,ORD00062,2024-02-22,2024-02-26,Standard,BlueDart,WH00001
SHP00063,ORD00063,2024-04-20,2024-04-26,Road,IndiaPost,WH00002
SHP00064,ORD00064,2024-02-07,2024-02-08,Standard,BlueDart,WH00003
SHP00065,ORD00065,2024-04-15,2024-04-19,Air,Delhivery,WH00012
SHP00066,ORD00066,2024-01-17,2024-01-22,Standard,Delhivery,WH00006
SHP00067,ORD00067,2024-04-01,2024-04-03,Road,BlueDart,WH00006
SHP00068,ORD00068,2024-05-26,2024-05-29,Standard,Delhivery,WH00002
SHP00069,ORD00069,2024-05-16,2024-05-19,Road,IndiaPost,WH00002
SHP00070,ORD00070,2024-03-29,2024-04-02,Air,Delhivery,WH00007
SHP00071,ORD00071,2024-01-13,2024-01-17,Air,Delhivery,WH00006
SHP00072,ORD00072,2024-04-25,2024-04-25,Standard,EcomExpress,WH00006
SHP00073,ORD00073,2024-01-14,2024-01-15,Express,BlueDart,WH00002
SHP00074,ORD00074,2024-03-05,2024-03-08,Express,BlueDart,WH00005
SHP00075,ORD00075,2024-03-23,2024-03-23,Express,BlueDart,WH00010
SHP00076,ORD00076,2024-04-21,2024-04-22,Standard,Delhivery,WH00001
SHP00077,ORD00077,2024-02-13,2024-02-17,Express,Delhivery,WH00010
SHP00078,ORD00078,2024-03-01,2024-03-04,Road,EcomExpress,WH00001
SHP00079,ORD00079,2024-04-08,2024-04-10,Road,IndiaPost,WH00007
SHP00080,ORD00080,2024-02-23,2024-02-23,Express,BlueDart,WH00006
SHP00081,ORD00081,2024-02-18,2024-02-17,Air,Delhivery,WH00009
SHP00082,ORD00082,2024-05-09,2024-05-15,Standard,EcomExpress,WH00007
SHP00083,ORD00083,2024-05-27,2024-05-29,Road,EcomExpress,WH00009
SHP00084,ORD00084,2024-01-27,2024-01-30,Road,Delhivery,WH00004
SHP00085,ORD00085,2024-01-05,2024-01-11,Standard,EcomExpress,WH00004
SHP00086,ORD00086,2024-01-31,2024-02-03,Standard,IndiaPost,WH00012
SHP00087,ORD00087,2024-01-18,2024-01-20,Air,Delhivery,WH00008
SHP00088,ORD00088,2024-03-26,2024-03-27,Road,EcomExpress,WH00007
SHP00089,ORD00089,2024-03-24,2024-03-29,Air,Delhivery,WH00002
SHP00090,ORD00090,2024-04-25,2024-04-24,Express,BlueDart,WH00001
SHP00091,ORD00091,2024-01-17,2024-01-18,Air,EcomExpress,WH00001
SHP00092,ORD00092,2024-02-23,2024-02-23,Air,Delhivery,WH00012
SHP00093,ORD00093,2024-03-21,2024-03-22,Road,Delhivery,WH00002
SHP00094,ORD00094,2024-01-19,2024-01-24,Express,Delhivery,WH00005
SHP00095,ORD00095,2024-02-25,2024-02-27,Express,BlueDart,WH00011
SHP00096,ORD00096,2024-04-21,2024-04-24,Standard,EcomExpress,WH00008
SHP00097,ORD00097,2024-01-20,2024-01-21,Express,BlueDart,WH00012
SHP00098,ORD00098,2024-03-23,2024-03-27,Air,EcomExpress,WH00011
SHP00099,ORD00099,2024-02-13,2024-02-18,Standard,Delhivery,WH00003
SHP00100,ORD00100,2024-04-02,2024-04-05,Express,EcomExpress,WH00007
SHP00101,ORD00101,2024-01-14,2024-01-20,Road,BlueDart,WH00001
SHP00102,ORD00102,2024-02-01,2024-02-08,Road,BlueDart,WH00012
SHP00103,ORD00103,2024-05-27,2024-05-27,Standard,IndiaPost,WH00002
SHP00104,ORD00104,2024-05-27,2024-05-27,Express,EcomExpress,WH00002
SHP00105,ORD00105,2024-05-09,2024-05-12,Express,Delhivery,WH00008
SHP00106,ORD00106,2024-04-14,2024-04-18,Road,BlueDart,WH00010
SHP00107,ORD00107,2024-05-07,2024-05-10,Standard,IndiaPost,WH00001
SHP00108,ORD00108,2024-01-25,2024-01-27,Air,BlueDart,WH00011
SHP00109,ORD00109,2024-04-09,2024-04-11,Standard,IndiaPost,WH00003
SHP00110,ORD00110,2024-03-08,2024-03-09,Road,Delhivery,WH00010
SHP00111,ORD00111,2024-03-10,2024-03-15,Express,BlueDart,WH00008
SHP00112,ORD00112,2024-04-06,2024-04-13,Standard,BlueDart,WH00004
SHP00113,ORD00113,2024-04-11,2024-04-16,Standard,BlueDart,WH00010
SHP00114,ORD00114,2024-03-24,2024-03-30,Air,Delhivery,WH00010
SHP00115,ORD00115,2024-03-06,2024-03-08,Standard,BlueDart,WH00009
SHP00116,ORD00116,2024-03-21,2024-03-26,Express,BlueDart,WH00002
SHP00117,ORD00117,2024-04-18,2024-04-23,Air,Delhivery,WH00011
SHP00118,ORD00118,2024-02-21,2024-02-25,Standard,IndiaPost,WH00009
SHP00119,ORD00119,2024-04-29,2024-04-30,Air,EcomExpress,WH00010
SHP00120,ORD00120,2024-04-28,2024-05-01,Air,BlueDart,WH00002
SHP00121,ORD00121,2024-01-15,2024-01-15,Standard,IndiaPost,WH00008
SHP00122,ORD00122,2024-06-01,2024-05-31,Air,IndiaPost,WH00002
SHP00123,ORD00123,2024-04-06,2024-04-11,Standard,BlueDart,WH00007
SHP00124,ORD00124,2024-03-15,2024-03-16,Air,EcomExpress,WH00005
SHP00125,ORD00125,2024-04-12,2024-04-17,Express,EcomExpress,WH00004
SHP00126,ORD00126,2024-04-03,2024-04-07,Air,Delhivery,WH00008
SHP00127,ORD00127,2024-03-15,2024-03-18,Air,Delhivery,WH00007
SHP00128,ORD00128,2024-05-17,2024-05-19,Road,IndiaPost,WH00011
SHP00129,ORD00129,2024-03-16,2024-03-15,Air,BlueDart,WH00012
SHP00130,ORD00130,2024-04-21,2024-04-22,Standard,EcomExpress,WH00002
SHP00131,ORD00131,2024-02-02,2024-02-02,Standard,IndiaPost,WH00011
SHP00132,ORD00132,2024-05-04,2024-05-05,Air,EcomExpress,WH00009
SHP00133,ORD00133,2024-01-16,2024-01-17,Standard,EcomExpress,WH00008
SHP00134,ORD00134,2024-01-08,2024-01-11,Standard,EcomExpress,WH00011
SHP00135,ORD00135,2024-04-06,2024-04-11,Road,Delhivery,WH00007
SHP00136,ORD00136,2024-01-30,2024-02-05,Standard,IndiaPost,WH00004
SHP00137,ORD00137,2024-02-11,2024-02-13,Road,EcomExpress,WH00011
SHP00138,ORD00138,2024-04-02,2024-04-03,Road,EcomExpress,WH00002
SHP00139,ORD00139,2024-04-15,2024-04-17,Standard,EcomExpress,WH00009
SHP00140,ORD00140,2024-01-13,2024-01-12,Air,BlueDart,WH00005
SHP00141,ORD00141,2024-01-10,2024-01-11,Standard,EcomExpress,WH00010
SHP00142,ORD00142,2024-02-04,2024-02-05,Express,IndiaPost,WH00012
SHP00143,ORD00143,2024-01-05,2024-01-09,Air,Delhivery,WH00004
SHP00144,ORD00144,2024-01-11,2024-01-10,Air,IndiaPost,WH00001
SHP00145,ORD00145,2024-05-02,2024-05-04,Express,BlueDart,WH00005
SHP00146,ORD00146,2024-04-28,2024-05-01,Standard,EcomExpress,WH00011
SHP00147,ORD00147,2024-03-16,2024-03-17,Road,Delhivery,WH00002
SHP00148,ORD00148,2024-02-02,2024-02-07,Road,Delhivery,WH00012
SHP00149,ORD00149,2024-05-19,2024-05-25,Air,Delhivery,WH00011
SHP00150,ORD00150,2024-01-05,2024-01-06,Air,BlueDart,WH00007
SHP00151,ORD00151,2024-04-26,2024-04-28,Express,IndiaPost,WH00007
SHP00152,ORD00152,2024-05-24,2024-05-23,Air,EcomExpress,WH00003
SHP00153,ORD00153,2024-05-16,2024-05-18,Road,Delhivery,WH00002
SHP00154,ORD00154,2024-03-28,2024-03-29,Standard,BlueDart,WH00009
SHP00155,ORD00155,2024-02-14,2024-02-16,Express,Delhivery,WH00008
SHP00156,ORD00156,2024-02-19,2024-02-22,Air,IndiaPost,WH00001
SHP00157,ORD00157,2024-04-07,2024-04-09,Standard,Delhivery,WH00007
SHP00158,ORD00158,2024-03-28,2024-04-03,Standard,BlueDart,WH00002
SHP00159,ORD00159,2024-05-02,2024-05-06,Express,IndiaPost,WH00004
SHP00160,ORD00160,2024-02-18,2024-02-19,Standard,EcomExpress,WH00003
SHP00161,ORD00161,2024-01-20,2024-01-27,Road,BlueDart,WH00009
SHP00162,ORD00162,2024-02-15,2024-02-16,Air,Delhivery,WH00005
SHP00163,ORD00163,2024-05-12,2024-05-14,Road,EcomExpress,WH00008
SHP00164,ORD00164,2024-03-06,2024-03-08,Express,BlueDart,WH00011
SHP00165,ORD00165,2024-04-18,2024-04-21,Road,Delhivery,WH00012
SHP00166,ORD00166,2024-01-21,2024-01-26,Express,IndiaPost,WH00009
SHP00167,ORD00167,2024-03-27,2024-03-26,Standard,BlueDart,WH00011
SHP00168,ORD00168,2024-04-14,2024-04-17,Air,Delhivery,WH00008
SHP00169,ORD00169,2024-05-24,2024-05-26,Road,BlueDart,WH00001
SHP00170,ORD00170,2024-02-26,2024-02-28,Express,BlueDart,WH00009
SHP00171,ORD00171,2024-05-16,2024-05-22,Road,EcomExpress,WH00012
SHP00172,ORD00172,2024-02-17,2024-02-22,Air,BlueDart,WH00004
SHP00173,ORD00173,2024-01-12,2024-01-14,Road,EcomExpress,WH00007
SHP00174,ORD00174,2024-02-21,2024-02-25,Air,BlueDart,WH00008
SHP00175,ORD00175,2024-01-04,2024-01-08,Express,BlueDart,WH00004
SHP00176,ORD00176,2024-02-17,2024-02-18,Standard,BlueDart,WH00012
SHP00177,ORD00177,2024-03-10,2024-03-11,Standard,IndiaPost,WH00003
SHP00178,ORD00178,2024-01-16,2024-01-23,Express,IndiaPost,WH00006
SHP00179,ORD00179,2024-04-28,2024-04-29,Standard,EcomExpress,WH00003
SHP00180,ORD00180,2024-05-14,2024-05-15,Standard,BlueDart,WH00011
SHP00181,ORD00181,2024-05-17,2024-05-21,Standard,IndiaPost,WH00010
SHP00182,ORD00182,2024-02-13,2024-02-19,Standard,EcomExpress,WH00004
SHP00183,ORD00183,2024-02-17,2024-02-20,Air,BlueDart,WH00002
SHP00184,ORD00184,2024-04-24,2024-04-26,Standard,BlueDart,WH00006
SHP00185,ORD00185,2024-02-11,2024-02-16,Road,Delhivery,WH00006
SHP00186,ORD00186,2024-05-29,2024-06-04,Express,BlueDart,WH00010
SHP00187,ORD00187,2024-05-20,2024-05-24,Standard,EcomExpress,WH00008
SHP00188,ORD00188,2024-02-11,2024-02-16,Standard,Delhivery,WH00008
SHP00189,ORD00189,2024-05-27,2024-05-30,Air,EcomExpress,WH00012
SHP00190,ORD00190,2024-03-19,2024-03-24,Road,Delhivery,WH00009
SHP00191,ORD00191,2024-03-02,2024-03-07,Air,BlueDart,WH00012
SHP00192,ORD00192,2024-02-10,2024-02-11,Road,EcomExpress,WH00004
SHP00193,ORD00193,2024-02-20,2024-02-25,Express,Delhivery,WH00008
SHP00194,ORD00194,2024-05-08,2024-05-14,Standard,IndiaPost,WH00008
SHP00195,ORD00195,2024-05-21,2024-05-22,Express,Delhivery,WH00006
SHP00196,ORD00196,2024-04-17,2024-04-24,Road,EcomExpress,WH00010
SHP00197,ORD00197,2024-03-22,2024-03-22,Road,EcomExpress,WH00004
SHP00198,ORD00198,2024-01-24,2024-01-27,Express,Delhivery,WH00005
SHP00199,ORD00199,2024-03-04,2024-03-06,Standard,EcomExpress,WH00003
SHP00200,ORD00200,2024-03-01,2024-03-06,Standard,Delhivery,WH00008
SHP00201,ORD00201,2024-05-24,2024-05-26,Road,BlueDart,WH00006
SHP00202,ORD00202,2024-04-15,2024-04-17,Standard,BlueDart,WH00010
SHP00203,ORD00203,2024-01-07,2024-01-12,Air,EcomExpress,WH00011
SHP00204,ORD00204,2024-05-27,2024-05-30,Road,EcomExpress,WH00006
SHP00205,ORD00205,2024-02-24,2024-02-29,Road,EcomExpress,WH00008
SHP00206,ORD00206,2024-05-29,2024-05-30,Road,Delhivery,WH00009
SHP00207,ORD00207,2024-01-09,2024-01-11,Express,EcomExpress,WH00006
SHP00208,ORD00208,2024-04-20,2024-04-24,Air,IndiaPost,WH00003
SHP00209,ORD00209,2024-05-26,2024-05-27,Standard,BlueDart,WH00006
SHP00210,ORD00210,2024-05-15,2024-05-14,Standard,EcomExpress,WH00007
SHP00211,ORD00211,2024-01-22,2024-01-24,Express,IndiaPost,WH00008
SHP00212,ORD00212,2024-03-27,2024-04-03,Express,Delhivery,WH00012
SHP00213,ORD00213,2024-02-08,2024-02-10,Road,EcomExpress,WH00008
SHP00214,ORD00214,2024-05-03,2024-05-08,Standard,EcomExpress,WH00006
SHP00215,ORD00215,2024-02-08,2024-02-12,Standard,BlueDart,WH00001
SHP00216,ORD00216,2024-04-24,2024-04-26,Air,BlueDart,WH00009
SHP00217,ORD00217,2024-01-15,2024-01-14,Standard,Delhivery,WH00012
SHP00218,ORD00218,2024-02-14,2024-02-16,Standard,Delhivery,WH00011
SHP00219,ORD00219,2024-02-27,2024-03-03,Air,BlueDart,WH00005
SHP00220,ORD00220,2024-01-23,2024-01-24,Standard,BlueDart,WH00010
SHP00221,ORD00221,2024-02-13,2024-02-13,Air,BlueDart,WH00004
SHP00222,ORD00222,2024-05-19,2024-05-23,Standard,Delhivery,WH00012
SHP00223,ORD00223,2024-02-09,2024-02-09,Standard,EcomExpress,WH00004
SHP00224,ORD00224,2024-01-02,2024-01-07,Road,EcomExpress,WH00010
SHP00225,ORD00225,2024-03-06,2024-03-05,Standard,IndiaPost,WH00003
SHP00226,ORD00226,2024-03-27,2024-03-29,Express,IndiaPost,WH00002
SHP00227,ORD00227,2024-02-03,2024-02-08,Standard,EcomExpress,WH00012
SHP00228,ORD00228,2024-04-17,2024-04-19,Air,BlueDart,WH00003
SHP00229,ORD00229,2024-01-15,2024-01-19,Express,BlueDart,WH00003
SHP00230,ORD00230,2024-05-05,2024-05-08,Express,EcomExpress,WH00005
SHP00231,ORD00231,2024-02-05,2024-02-09,Road,BlueDart,WH00011
SHP00232,ORD00232,2024-04-14,2024-04-21,Road,Delhivery,WH00004
SHP00233,ORD00233,2024-01-23,2024-01-26,Standard,EcomExpress,WH00009
SHP00234,ORD00234,2024-04-02,2024-04-02,Express,IndiaPost,WH00011
SHP00235,ORD00235,2024-05-07,2024-05-09,Road,Delhivery,WH00003
SHP00236,ORD00236,2024-01-03,2024-01-05,Express,EcomExpress,WH00011
SHP00237,ORD00237,2024-04-09,2024-04-08,Standard,IndiaPost,WH00005
SHP00238,ORD00238,2024-01-28,2024-01-27,Air,EcomExpress,WH00010
SHP00239,ORD00239,2024-03-07,2024-03-11,Road,EcomExpress,WH00011
SHP00240,ORD00240,2024-03-03,2024-03-02,Air,Delhivery,WH00002
SHP00241,ORD00241,2024-01-04,2024-01-10,Express,Delhivery,WH00005
SHP00242,ORD00242,2024-02-01,2024-02-08,Road,IndiaPost,WH00007
SHP00243,ORD00243,2024-01-19,2024-01-23,Air,IndiaPost,WH00008
SHP00244,ORD00244,2024-03-02,2024-03-08,Road,EcomExpress,WH00003
SHP00245,ORD00245,2024-03-30,2024-04-01,Express,Delhivery,WH00010
SHP00246,ORD00246,2024-02-01,2024-02-05,Air,Delhivery,WH00010
SHP00247,ORD00247,2024-04-18,2024-04-21,Standard,IndiaPost,WH00003
SHP00248,ORD00248,2024-04-03,2024-04-10,Standard,EcomExpress,WH00005
SHP00249,ORD00249,2024-01-23,2024-01-27,Standard,BlueDart,WH00008
SHP00250,ORD00250,2024-05-09,2024-05-16,Road,EcomExpress,WH00002
SHP00251,ORD00251,2024-05-16,2024-05-20,Air,EcomExpress,WH00004
SHP00252,ORD00252,2024-03-30,2024-03-30,Standard,Delhivery,WH00010
SHP00253,ORD00253,2024-02-29,2024-02-29,Express,IndiaPost,WH00011
SHP00254,ORD00254,2024-01-06,2024-01-09,Air,EcomExpress,WH00003
SHP00255,ORD00255,2024-03-01,2024-03-06,Standard,Delhivery,WH00002
SHP00256,ORD00256,2024-05-20,2024-05-20,Air,BlueDart,WH00011
SHP00257,ORD00257,2024-03-23,2024-03-25,Air,EcomExpress,WH00011
SHP00258,ORD00258,2024-03-11,2024-03-16,Road,Delhivery,WH00010
SHP00259,ORD00259,2024-05-27,2024-05-27,Express,Delhivery,WH00005
SHP00260,ORD00260,2024-01-07,2024-01-14,Air,BlueDart,WH00009
SHP00261,ORD00261,2024-05-02,2024-05-05,Air,BlueDart,WH00010
SHP00262,ORD00262,2024-03-05,2024-03-07,Express,Delhivery,WH00012
SHP00263,ORD00263,2024-03-26,2024-03-30,Express,IndiaPost,WH00009
SHP00264,ORD00264,2024-03-17,2024-03-21,Air,Delhivery,WH00007
SHP00265,ORD00265,2024-05-02,2024-05-05,Express,BlueDart,WH00001
SHP00266,ORD00266,2024-05-17,2024-05-20,Express,Delhivery,WH00007
SHP00267,ORD00267,2024-04-18,2024-04-17,Express,IndiaPost,WH00005
SHP00268,ORD00268,2024-02-09,2024-02-14,Express,EcomExpress,WH00010
SHP00269,ORD00269,2024-04-23,2024-04-26,Standard,BlueDart,WH00012
SHP00270,ORD00270,2024-02-20,2024-02-21,Air,IndiaPost,WH00007
SHP00271,ORD00271,2024-04-22,2024-04-26,Road,BlueDart,WH00006
SHP00272,ORD00272,2024-03-08,2024-03-12,Road,EcomExpress,WH00008
SHP00273,ORD00273,2024-01-12,2024-01-14,Express,BlueDart,WH00007
SHP00274,ORD00274,2024-01-30,2024-02-04,Air,EcomExpress,WH00005
SHP00275,ORD00275,2024-02-24,2024-02-24,Air,EcomExpress,WH00004
SHP00276,ORD00276,2024-04-03,2024-04-04,Express,Delhivery,WH00011
SHP00277,ORD00277,2024-02-28,2024-03-05,Express,Delhivery,WH00006
SHP00278,ORD00278,2024-04-26,2024-04-30,Express,IndiaPost,WH00008
SHP00279,ORD00279,2024-04-17,2024-04-16,Road,Delhivery,WH00006
SHP00280,ORD00280,2024-01-26,2024-01-31,Express,Delhivery,WH00002
SHP00281,ORD00281,2024-05-28,2024-05-30,Standard,BlueDart,WH00008
SHP00282,ORD00282,2024-02-21,2024-02-25,Road,EcomExpress,WH00012
SHP00283,ORD00283,2024-03-19,2024-03-22,Air,EcomExpress,WH00001
SHP00284,ORD00284,2024-03-18,2024-03-19,Road,EcomExpress,WH00002
SHP00285,ORD00285,2024-04-05,2024-04-06,Express,IndiaPost,WH00009
SHP00286,ORD00286,2024-02-03,2024-02-07,Standard,BlueDart,WH00004
SHP00287,ORD00287,2024-02-03,2024-02-09,Air,IndiaPost,WH00011
SHP00288,ORD00288,2024-04-12,2024-04-16,Air,Delhivery,WH00010
SHP00289,ORD00289,2024-05-30,2024-06-02,Air,Delhivery,WH00007
SHP00290,ORD00290,2024-02-17,2024-02-23,Air,IndiaPost,WH00010
SHP00291,ORD00291,2024-03-28,2024-04-02,Express,IndiaPost,WH00001
SHP00292,ORD00292,2024-05-29,2024-06-05,Air,Delhivery,WH00011
SHP00293,ORD00293,2024-02-06,2024-02-11,Road,IndiaPost,WH00007
SHP00294,ORD00294,2024-05-12,2024-05-18,Express,BlueDart,WH00012
SHP00295,ORD00295,2024-04-09,2024-04-11,Standard,EcomExpress,WH00009
SHP00296,ORD00296,2024-01-16,2024-01-16,Express,EcomExpress,WH00003
SHP00297,ORD00297,2024-03-26,2024-03-31,Air,IndiaPost,WH00008
SHP00298,ORD00298,2024-03-09,2024-03-14,Air,Delhivery,WH00002
SHP00299,ORD00299,2024-02-10,2024-02-15,Express,BlueDart,WH00002
SHP00300,ORD00300,2024-02-28,2024-03-04,Express,EcomExpress,WH00006
SHP00301,ORD00301,2024-03-31,2024-04-02,Standard,EcomExpress,WH00002
SHP00302,ORD00302,2024-05-09,2024-05-12,Air,BlueDart,WH00006
SHP00303,ORD00303,2024-02-27,2024-02-28,Standard,Delhivery,WH00012
SHP00304,ORD00304,2024-04-08,2024-04-12,Standard,IndiaPost,WH00001
SHP00305,ORD00305,2024-03-17,2024-03-21,Road,BlueDart,WH00007
SHP00306,ORD00306,2024-01-19,2024-01-22,Road,BlueDart,WH00004
SHP00307,ORD00307,2024-03-23,2024-03-27,Air,Delhivery,WH00001
SHP00308,ORD00308,2024-02-09,2024-02-10,Road,EcomExpress,WH00009
SHP00309,ORD00309,2024-04-30,2024-05-04,Standard,Delhivery,WH00004
SHP00310,ORD00310,2024-02-21,2024-02-27,Road,EcomExpress,WH00008
SHP00311,ORD00311,2024-05-11,2024-05-18,Standard,IndiaPost,WH00003
SHP00312,ORD00312,2024-03-14,2024-03-16,Standard,BlueDart,WH00007
SHP00313,ORD00313,2024-05-16,2024-05-20,Express,BlueDart,WH00011
SHP00314,ORD00314,2024-02-01,2024-02-01,Standard,Delhivery,WH00004
SHP00315,ORD00315,2024-01-21,2024-01-20,Road,Delhivery,WH00005
SHP00316,ORD00316,2024-01-27,2024-01-28,Air,EcomExpress,WH00006
SHP00317,ORD00317,2024-01-17,2024-01-19,Air,Delhivery,WH00007
SHP00318,ORD00318,2024-04-12,2024-04-11,Air,Delhivery,WH00005
SHP00319,ORD00319,2024-03-25,2024-03-30,Express,Delhivery,WH00007
SHP00320,ORD00320,2024-02-12,2024-02-17,Road,BlueDart,WH00002
SHP00321,ORD00321,2024-04-02,2024-04-03,Air,Delhivery,WH00002
SHP00322,ORD00322,2024-01-29,2024-01-29,Express,Delhivery,WH00012
SHP00323,ORD00323,2024-01-11,2024-01-13,Road,BlueDart,WH00002
SHP00324,ORD00324,2024-03-13,2024-03-20,Air,Delhivery,WH00002
SHP00325,ORD00325,2024-03-29,2024-04-04,Standard,EcomExpress,WH00008
SHP00326,ORD00326,2024-01-18,2024-01-22,Standard,BlueDart,WH00010
SHP00327,ORD00327,2024-02-06,2024-02-07,Air,IndiaPost,WH00008
SHP00328,ORD00328,2024-04-22,2024-04-27,Express,Delhivery,WH00010
SHP00329,ORD00329,2024-04-22,2024-04-23,Road,BlueDart,WH00005
SHP00330,ORD00330,2024-03-05,2024-03-09,Standard,IndiaPost,WH00007
SHP00331,ORD00331,2024-03-09,2024-03-14,Road,Delhivery,WH00009
SHP00332,ORD00332,2024-01-18,2024-01-20,Air,IndiaPost,WH00008
SHP00333,ORD00333,2024-03-01,2024-03-03,Standard,BlueDart,WH00003
SHP00334,ORD00334,2024-04-20,2024-04-26,Road,BlueDart,WH00003
SHP00335,ORD00335,2024-02-05,2024-02-06,Express,EcomExpress,WH00005
SHP00336,ORD00336,2024-02-23,2024-02-24,Standard,IndiaPost,WH00004
SHP00337,ORD00337,2024-01-17,2024-01-22,Standard,BlueDart,WH00009
SHP00338,ORD00338,2024-05-02,2024-05-08,Air,BlueDart,WH00004
SHP00339,ORD00339,2024-03-24,2024-03-25,Standard,EcomExpress,WH00011
SHP00340,ORD00340,2024-01-14,2024-01-15,Express,BlueDart,WH00011
SHP00341,ORD00341,2024-03-03,2024-03-08,Air,BlueDart,WH00010
