Shipment_ID,Shipping_Cost,Fuel_Cost,Handling_Cost,Total_Cost
SHP00172,205.1,205.6,78.56,489.26
SHP00173,389.61,217.55,89.88,697.0400000000001
SHP00174,168.78,62.04,126.27,357.09
SHP00175,335.99,105.71,43.61,485.31
SHP00176,187.22,184.38,86.17,457.77000000000004
SHP00177,218.33,166.88,146.73,531.94
SHP00178,226.7,156.68,141.33,524.71
SHP00179,356.6,119.96,64.32,540.88
SHP00180,512.59,119.98,129.16,761.73
SHP00181,515.87,93.97,130.99,740.83
SHP00182,537.78,63.55,95.38,696.7099999999999
SHP00183,238.41,99.14,125.24,462.79
SHP00184,385.25,209.23,34.92,629.4
SHP00185,267.61,72.87,139.29,479.77
SHP00186,91.06,67.53,140.36,298.95000000000005
SHP00187,316.56,206.48,91.54,614.5799999999999
SHP00188,513.03,158.17,97.56,768.76
SHP00189,189.9,85.82,121.83,397.55
SHP00190,354.95,84.98,120.17,560.1
SHP00191,123.78,180.63,66.49,370.9
SHP00192,129.06,52.58,119.33,300.96999999999997
SHP00193,199.22,59.66,136.41,395.28999999999996
SHP00194,499.26,35.14,91.96,626.36
SHP00195,220.23,42.49,22.41,285.13
SHP00196,222.71,103.04,62.35,388.1
SHP00197,282.31,154.46,128.52,565.29
SHP00198,274.71,167.43,131.19,573.3299999999999
SHP00199,258.86,239.55,109.96,608.37
SHP00200,590.09,61.04,43.64,694.77
SHP00201,327.95,90.92,41.01,459.88
SHP00202,162.57,233.32,108.81,504.7
SHP00203,110.46,57.32,62.32,230.1
SHP00204,232.68,174.94,72.11,479.73
SHP00205,168.65,227.06,27.05,422.76000000000005
SHP00206,467.73,140.23,106.33,714.2900000000001
SHP00207,148.94,140.38,46.28,335.6
SHP00208,532.84,172.17,82.4,787.41
SHP00209,223.65,34.72,108.87,367.24
SHP00210,584.49,209.94,42.61,837.0400000000001
SHP00211,339.23,134.26,48.55,522.04
SHP00212,393.8,160.47,92.16,646.43
SHP00213,104.52,74.49,25.1,204.10999999999999
SHP00214,110.91,140.71,81.66,333.28
SHP00215,264.08,182.03,146.95,593.06
SHP00216,460.61,42.37,118.32,621.3
SHP00217,93.35,132.67,141.46,367.48
SHP00218,85.12,219.45,147.64,452.21
SHP00219,214.0,203.02,118.3,535.3199999999999
SHP00220,245.81,73.4,141.52,460.73
SHP00221,130.1,80.36,45.95,256.40999999999997
SHP00222,244.56,64.3,105.83,414.69
SHP00223,442.83,156.98,53.71,653.52
SHP00224,562.5,196.44,110.38,869.32
SHP00225,305.38,123.4,62.66,491.43999999999994
SHP00226,301.01,44.48,83.04,428.53000000000003
SHP00227,410.63,235.44,91.92,737.9899999999999
SHP00228,343.87,190.06,148.88,682.8100000000001
SHP00229,239.97,241.14,133.83,614.94
SHP00230,566.36,144.19,98.66,809.2099999999999
SHP00231,531.02,99.38,134.66,765.06
SHP00232,538.0,216.41,44.1,798.51
SHP00233,409.13,170.8,117.94,697.8700000000001
SHP00234,522.15,138.87,103.65,764.67
SHP00235,526.33,226.05,77.6,829.9800000000001
SHP00236,288.46,151.7,77.65,517.81
SHP00237,133.38,233.82,43.22,410.41999999999996
SHP00238,196.72,161.71,57.93,416.36
SHP00239,147.23,79.95,76.72,303.9
SHP00240,402.64,144.46,30.26,577.36
SHP00241,502.21,95.67,116.56,714.44
SHP00242,597.71,246.79,21.06,865.56
SHP00243,205.8,156.57,110.96,473.33
SHP00244,291.1,83.23,70.81,445.14000000000004
SHP00245,239.57,200.39,34.61,474.57
SHP00246,472.15,101.41,61.94,635.5
SHP00247,169.9,246.87,43.1,459.87
SHP00248,283.56,107.1,50.17,440.83
SHP00249,480.43,78.98,91.85,651.26
SHP00250,458.06,113.42,132.47,703.95
SHP00251,150.2,177.22,80.12,407.53999999999996
SHP00252,332.78,189.66,50.21,572.65
SHP00253,389.71,245.56,115.79,751.06
SHP00254,344.29,82.5,119.16,545.95
SHP00255,363.46,68.45,122.49,554.4
SHP00256,370.04,245.95,139.49,755.48
SHP00257,390.08,234.45,53.21,677.74
SHP00258,486.94,121.36,32.44,640.74
SHP00259,340.37,143.09,78.49,561.95
SHP00260,458.53,180.05,23.27,661.8499999999999
SHP00261,375.69,59.61,96.55,531.85
SHP00262,285.77,103.95,41.52,431.23999999999995
SHP00263,334.51,41.13,133.87,509.51
SHP00264,376.2,80.41,146.53,603.14
SHP00265,338.84,191.29,91.41,621.54
SHP00266,371.25,146.17,104.09,621.51
SHP00267,247.88,79.92,49.73,377.53000000000003
SHP00268,449.65,229.17,80.19,759.01
SHP00269,312.81,198.89,28.48,540.18
SHP00270,410.18,229.02,63.77,702.97
SHP00271,241.82,169.87,74.36,486.05
SHP00272,283.8,62.81,25.17,371.78000000000003
SHP00273,598.93,171.63,124.73,895.29
SHP00274,400.94,133.69,48.91,583.54
SHP00275,378.58,35.97,113.0,527.55
SHP00276,417.78,81.16,147.56,646.5
SHP00277,319.16,90.07,63.5,472.73
SHP00278,144.17,81.05,119.57,344.78999999999996
SHP00279,402.7,45.24,125.12,573.06
SHP00280,511.51,130.74,21.83,664.08
SHP00281,215.16,91.42,136.64,443.21999999999997
SHP00282,322.38,142.6,92.41,557.39
SHP00283,336.61,86.06,41.35,464.02000000000004
SHP00284,334.2,60.31,145.72,540.23
SHP00285,289.07,139.29,63.68,492.04
SHP00286,209.38,99.29,143.63,452.3
SHP00287,224.01,48.34,21.25,293.6
SHP00288,225.63,198.07,75.34,499.03999999999996
SHP00289,137.77,56.57,20.52,214.86
SHP00290,215.74,240.59,45.66,501.99
SHP00291,561.36,165.04,63.34,789.74
SHP00292,96.19,202.53,74.85,373.57000000000005
SHP00293,178.62,118.25,81.54,378.41
SHP00294,337.02,191.54,22.57,551.13
SHP00295,114.2,209.98,59.66,383.84000000000003
SHP00296,395.12,100.25,88.42,583.79
SHP00297,370.41,142.47,60.25,573.13
SHP00298,88.68,32.41,28.16,149.25
SHP00299,91.02,212.87,117.66,421.54999999999995
SHP00300,525.41,143.12,20.29,688.8199999999999
SHP00301,534.45,219.25,40.95,794.6500000000001
SHP00302,174.9,156.14,102.3,433.34
SHP00303,92.19,108.79,127.76,328.74
SHP00304,193.64,189.89,29.05,412.58
SHP00305,140.17,209.03,105.94,455.14
SHP00306,568.27,34.47,52.28,655.02
SHP00307,381.78,143.7,56.27,581.75
SHP00308,490.15,227.6,74.2,791.95
SHP00309,171.92,93.81,37.34,303.07000000000005
SHP00310,119.87,161.53,29.08,310.47999999999996
SHP00311,430.96,72.08,96.38,599.42
SHP00312,564.87,225.08,32.49,822.44
SHP00313,204.91,80.87,138.95,424.72999999999996
SHP00314,437.48,118.15,104.31,659.94
SHP00315,402.93,119.48,52.77,575.18
SHP00316,194.88,66.04,140.0,400.92
SHP00317,308.7,137.76,103.12,549.5799999999999
SHP00318,280.85,73.92,64.17,418.94000000000005
SHP00319,118.59,121.44,72.71,312.74
SHP00320,541.59,185.25,125.53,852.37
SHP00321,380.72,68.65,25.25,474.62
SHP00322,374.53,160.28,99.54,634.3499999999999
SHP00323,446.36,43.95,103.72,594.03
SHP00324,357.49,40.18,30.91,428.58000000000004
SHP00325,105.41,247.59,135.38,488.38
SHP00326,204.73,185.93,44.84,435.5
SHP00327,562.16,43.53,115.77,721.4599999999999
SHP00328,570.8,184.06,103.51,858.3699999999999
SHP00329,356.92,174.01,128.26,659.19
SHP00330,559.66,156.27,30.11,746.04
SHP00331,546.11,157.39,60.11,763.61
SHP00332,275.39,219.48,24.84,519.71
SHP00333,252.53,235.24,82.71,570.48
SHP00334,184.86,247.02,35.92,467.8
SHP00335,291.16,159.47,54.55,505.18
SHP00336,115.99,108.52,47.12,271.63
SHP00337,437.19,144.77,131.76,713.72
SHP00338,485.03,238.61,21.0,744.64
SHP00339,559.9,54.21,35.31,649.4200000000001
SHP00340,231.51,177.49,75.36,484.36
SHP00341,450.5,132.28,122.14,704.92
SHP00342,178.68,135.06,123.75,437.49
SHP00343,301.04,139.33,132.18,572.55
SHP00344,492.92,142.27,51.88,687.07
SHP00345,204.15,62.96,106.81,373.92
SHP00346,579.31,155.39,72.25,806.9499999999999
SHP00347,313.77,239.28,29.94,582.99
SHP00348,329.97,155.54,133.97,619.48
SHP00349,162.73,215.66,90.27,468.65999999999997
SHP00350,315.52,213.52,108.82,637.8599999999999
SHP00351,535.83,48.75,35.92,620.5
SHP00352,258.7,120.33,51.52,430.54999999999995
SHP00353,304.83,79.87,41.75,426.45
SHP00354,137.21,43.59,23.37,204.17000000000002
SHP00355,417.26,220.39,118.19,755.8399999999999
SHP00356,102.81,42.62,73.2,218.63
SHP00357,526.62,42.78,135.51,704.91
SHP00358,294.28,107.68,96.51,498.46999999999997
SHP00359,126.83,233.43,53.34,413.6
SHP00360,552.6,240.67,114.43,907.7
SHP00361,182.93,71.6,35.95,290.48
SHP00362,391.77,79.22,128.37,599.36
SHP00363,345.57,239.56,96.58,681.71
SHP00364,464.56,62.71,93.97,621.24
SHP00365,186.74,180.31,103.85,470.9
SHP00366,522.25,122.62,100.52,745.39
SHP00367,371.47,137.48,122.85,631.8000000000001
SHP00368,374.42,162.69,59.24,596.35
SHP00369,432.69,244.61,46.32,723.62
SHP00370,158.42,36.31,127.66,322.39
SHP00371,486.91,84.68,53.95,625.5400000000001
SHP00372,237.11,112.51,103.3,452.92
SHP00373,479.58,187.28,93.61,760.47
SHP00374,434.34,161.79,140.49,736.62
SHP00375,272.41,82.52,27.25,382.18
SHP00376,87.6,191.4,63.62,342.62
SHP00377,88.52,38.94,22.02,149.48
SHP00378,161.02,79.67,102.07,342.76
SHP00379,261.46,145.42,94.2,501.08
SHP00380,571.79,219.56,26.45,817.8
SHP00381,497.59,98.32,109.73,705.64
SHP00382,404.27,189.25,63.99,657.51
SHP00383,145.27,210.62,33.36,389.25
SHP00384,210.71,45.82,108.51,365.04
SHP00385,344.58,189.86,87.36,621.8000000000001
SHP00386,324.99,31.51,72.13,428.63
SHP00387,400.65,165.34,40.75,606.74
SHP00388,392.24,224.8,54.01,671.05
SHP00389,333.06,216.82,34.77,584.65
SHP00390,475.79,248.98,124.76,849.53
SHP00391,222.59,86.88,40.16,349.63
SHP00392,443.93,116.06,49.82,609.8100000000001
SHP00393,347.5,126.77,99.15,573.42
SHP00394,428.19,232.22,31.94,692.35
SHP00395,311.64,133.98,129.09,574.71
SHP00396,512.49,248.12,89.74,850.35
SHP00397,417.59,239.11,67.26,723.96
SHP00398,134.66,108.27,74.39,317.32
SHP00399,565.06,142.86,146.69,854.6099999999999
SHP00400,282.54,159.57,125.5,567.61
SHP00401,155.33,35.84,37.31,228.48000000000002
SHP00402,348.56,61.44,71.94,481.94
SHP00403,408.37,144.55,118.37,671.2900000000001
SHP00404,286.58,66.99,26.98,380.55
SHP00405,517.86,236.8,23.85,778.5100000000001
SHP00406,315.27,226.14,63.18,604.5899999999999
SHP00407,204.26,77.84,59.23,341.33000000000004
SHP00408,175.42,105.51,85.06,365.99
SHP00409,111.42,147.89,52.02,311.33
SHP00410,225.11,223.35,49.25,497.71000000000004
SHP00411,569.16,70.32,64.27,703.75
SHP00412,522.09,240.98,146.94,910.01
SHP00413,406.43,144.98,29.25,580.66
SHP00414,332.35,127.86,132.37,592.58
SHP00415,468.1,139.85,83.05,691.0
SHP00416,151.55,181.39,26.39,359.33
SHP00417,414.84,208.48,99.83,723.15
SHP00418,173.32,222.33,114.42,510.07
SHP00419,334.13,77.49,51.73,463.35
SHP00420,443.24,215.19,140.97,799.4000000000001
SHP00421,363.61,65.07,47.13,475.81
SHP00422,423.23,32.63,78.4,534.26
SHP00423,280.61,110.11,62.92,453.64000000000004
SHP00424,490.01,81.95,116.36,688.32
SHP00425,486.54,32.88,42.11,561.5300000000001
SHP00426,347.92,91.07,28.3,467.29
SHP00427,560.57,186.88,34.21,781.6600000000001
SHP00428,501.81,200.1,49.72,751.63
SHP00429,173.21,121.57,119.83,414.60999999999996
SHP00430,346.1,221.29,93.15,660.54
SHP00431,298.04,118.23,138.65,554.9200000000001
SHP00432,356.51,144.62,137.77,638.9
SHP00433,240.69,142.79,117.2,500.68
SHP00434,564.65,135.81,61.85,762.3100000000001
SHP00435,553.38,200.84,149.24,903.46
SHP00436,545.14,231.06,70.12,846.32
SHP00437,329.84,199.75,103.38,632.9699999999999
SHP00438,470.58,160.23,132.48,763.29
SHP00439,224.33,42.86,103.55,370.74
SHP00440,573.37,73.48,121.84,768.69
SHP00441,333.67,36.71,46.43,416.81
SHP00442,523.22,246.64,85.51,855.37
SHP00443,402.37,207.77,35.49,645.63
SHP00444,488.92,158.54,39.33,686.7900000000001
SHP00445,304.8,138.53,43.69,487.02000000000004
SHP00446,456.58,200.89,50.19,707.6600000000001
SHP00447,271.86,60.58,113.88,446.32
SHP00448,206.07,238.07,129.74,573.88
SHP00449,379.37,245.96,88.0,713.33
SHP00450,552.64,188.79,36.68,778.1099999999999
SHP00451,304.2,76.26,82.65,463.11
SHP00452,160.36,222.36,124.76,507.48
SHP00453,162.42,124.01,27.05,313.48
SHP00454,295.98,79.7,55.8,431.48
SHP00455,297.04,188.51,40.18,525.73
SHP00456,212.21,160.18,56.05,428.44
SHP00457,493.59,215.82,58.76,768.17
SHP00458,246.49,196.32,50.21,493.02
SHP00459,399.19,84.36,126.49,610.04
SHP00460,231.27,179.03,26.56,436.86
SHP00461,171.5,172.42,122.69,466.60999999999996
SHP00462,577.65,46.05,125.39,749.0899999999999
SHP00463,104.96,80.81,56.35,242.11999999999998
SHP00464,501.31,80.92,121.01,703.24
SHP00465,231.57,158.98,96.0,486.54999999999995
SHP00466,258.18,70.05,54.1,382.33000000000004
SHP00467,128.8,80.39,80.89,290.08
SHP00468,248.16,45.93,108.22,402.30999999999995
SHP00469,572.55,55.08,94.6,722.23
SHP00470,288.14,243.81,146.81,678.76
SHP00471,196.36,85.04,31.08,312.48
SHP00472,194.01,94.95,118.37,407.33
SHP00473,205.02,179.85,40.17,425.04
SHP00474,220.17,124.3,70.11,414.58
SHP00475,458.73,247.67,116.63,823.03
SHP00476,464.68,215.04,56.53,736.25
SHP00477,558.77,177.98,33.97,770.72
SHP00478,425.16,249.9,66.81,741.8700000000001
SHP00479,138.32,47.2,131.69,317.21
SHP00480,546.61,52.15,39.1,637.86
SHP00481,416.91,248.37,126.71,791.99
SHP00482,460.39,179.14,135.95,775.48
SHP00483,525.43,80.58,39.14,645.15
SHP00484,187.21,223.04,91.14,501.39
SHP00485,324.94,144.54,143.26,612.74
SHP00486,577.64,101.1,94.11,772.85
SHP00487,521.06,182.54,105.36,808.9599999999999
SHP00488,236.7,221.31,137.61,595.62
SHP00489,260.1,151.37,113.0,524.47
SHP00490,570.68,180.35,140.86,891.89
SHP00491,101.8,88.83,57.47,248.1
SHP00492,182.18,197.04,102.44,481.66
SHP00493,189.04,104.54,109.35,402.92999999999995
SHP00494,538.73,57.29,45.81,641.8299999999999
SHP00495,166.53,97.42,81.18,345.13
SHP00496,534.5,190.56,54.71,779.77
SHP00497,388.88,41.43,137.03,567.34
SHP00498,205.03,232.65,143.86,581.54
SHP00499,360.13,223.16,109.61,692.9
SHP00500,567.19,124.81,90.8,782.8
SHP00501,405.23,150.04,81.51,636.78
SHP00502,496.63,220.6,66.35,783.58
SHP00503,269.59,185.09,92.53,547.2099999999999
SHP00504,339.52,225.99,37.02,602.53
SHP00505,377.42,208.79,36.26,622.47
SHP00506,172.18,223.54,138.95,534.6700000000001
SHP00507,303.89,231.38,128.06,663.3299999999999
SHP00508,416.1,239.64,85.04,740.78
SHP00509,460.08,136.27,52.3,648.65
SHP00510,97.71,223.14,21.98,342.83
SHP00511,380.6,47.98,49.59,478.1700000000001
SHP00512,158.92,30.11,96.33,285.35999999999996
SHP00513,224.17,180.5,65.08,469.74999999999994
SHP00514,166.34,39.06,123.0,328.4
SHP00515,311.65,50.92,106.98,469.55
SHP00516,364.84,92.92,58.04,515.8
SHP00517,139.29,188.35,45.7,373.34
SHP00518,401.27,31.78,99.55,532.5999999999999
SHP00519,98.04,172.53,35.76,306.33
SHP00520,264.39,35.94,73.23,373.56
SHP00521,230.18,95.76,57.14,383.08
SHP00522,159.14,178.79,77.73,415.65999999999997
SHP00523,588.08,57.5,45.65,691.23
SHP00524,454.3,240.48,119.1,813.88
SHP00525,140.87,146.67,69.58,357.11999999999995
SHP00526,152.62,237.62,70.86,461.1
SHP00527,592.7,179.24,55.73,827.6700000000001
SHP00528,246.43,39.26,39.12,324.81
SHP00529,535.02,182.09,100.23,817.34
SHP00530,311.04,192.29,45.89,549.22
SHP00531,544.26,179.23,143.08,866.57
SHP00532,142.7,93.56,74.27,310.53
SHP00533,260.3,114.89,138.32,513.51
SHP00534,280.92,245.72,31.65,558.29
SHP00535,530.27,80.42,90.99,701.68
SHP00536,319.64,66.93,79.67,466.24
SHP00537,284.29,101.93,48.76,434.98
SHP00538,373.17,139.43,110.51,623.11
SHP00539,531.29,65.93,47.58,644.8000000000001
SHP00540,180.21,210.88,128.72,519.8100000000001
SHP00541,143.04,204.02,86.25,433.31
SHP00542,313.98,178.71,72.57,565.26
SHP00543,592.04,39.12,117.57,748.73
SHP00544,283.17,189.14,123.99,596.3
SHP00545,407.45,202.09,62.16,671.6999999999999
SHP00546,113.63,104.42,90.56,308.61
SHP00547,292.1,146.55,102.47,541.12
SHP00548,161.83,228.58,43.59,434.0
SHP00549,577.92,194.01,66.63,838.56
SHP00550,376.48,243.86,108.19,728.53
SHP00551,582.64,137.67,110.44,830.75
SHP00552,522.36,193.71,24.04,740.11
SHP00553,189.74,95.78,48.09,333.61
SHP00554,469.02,65.27,99.87,634.16
SHP00555,447.23,173.1,36.09,656.4200000000001
SHP00556,536.97,119.48,43.99,700.44
SHP00557,121.8,211.1,24.11,357.01
SHP00558,468.34,30.45,112.95,611.74
SHP00559,527.6,128.51,74.54,730.65
SHP00560,283.48,217.2,135.97,636.65
SHP00561,290.56,61.41,50.55,402.52000000000004
SHP00562,405.36,84.04,63.99,553.39
SHP00563,284.16,223.49,24.48,532.13
SHP00564,421.39,164.13,54.08,639.6
SHP00565,140.87,44.91,57.02,242.8
SHP00566,243.44,160.85,69.59,473.88
SHP00567,386.39,132.06,52.33,570.7800000000001
SHP00568,133.48,241.36,149.88,524.72
SHP00569,199.54,127.64,112.87,440.05
SHP00570,529.12,157.52,130.09,816.73
SHP00571,527.56,194.8,128.5,850.8599999999999
SHP00572,311.33,234.36,142.25,687.94
SHP00573,446.1,180.48,68.16,694.74
SHP00574,251.82,109.11,77.44,438.37
SHP00575,196.94,71.04,56.29,324.27000000000004
SHP00576,93.9,112.4,78.29,284.59000000000003
SHP00577,396.21,144.49,89.59,630.2900000000001
SHP00578,521.15,215.37,126.1,862.62
SHP00579,456.64,108.68,75.67,640.9899999999999
SHP00580,207.41,221.86,65.86,495.13
SHP00581,533.55,175.25,62.53,771.3299999999999
SHP00582,98.25,189.63,22.52,310.4
SHP00583,579.16,124.78,53.07,757.01
SHP00584,153.44,57.47,82.27,293.18
SHP00585,549.31,53.51,36.54,639.3599999999999
SHP00586,189.08,88.92,136.36,414.36
SHP00587,270.33,241.09,24.9,536.3199999999999
SHP00588,254.04,52.96,129.78,436.78
SHP00589,276.05,95.9,45.01,416.96000000000004
SHP00590,188.27,233.85,42.95,465.07
SHP00591,198.68,201.52,29.71,429.91
SHP00592,248.03,80.69,44.66,373.38
SHP00593,267.96,150.41,68.63,487.0
SHP00594,386.49,127.93,111.67,626.09
SHP00595,442.16,186.15,100.65,728.96
SHP00596,585.8,143.79,136.55,866.1399999999999
SHP00597,178.02,78.88,23.86,280.76
SHP00598,327.61,118.01,117.32,562.94
SHP00599,267.06,97.33,31.29,395.68
SHP00600,563.62,189.3,61.39,814.3100000000001
SHP00601,465.8,176.53,65.24,707.57
SHP00602,396.45,58.75,102.06,557.26
